Date,Description,Status,Major Rd,Minor Rd,Inconclusive,Cords,Map,Fatal Crash,Fatal Persons,Twp,CVT,Distracted,Driveway Related,Intersection Related,Road side Fixed object,"Human (speeding, Seatbelt, Helmet, Drwosy, imparied, distracted)",Work Zone?,Animal Related?,Left of Center,Alcohol_Drugs,Medical,Gravel,Wet/Snow/Ice,Teen,Pedestrian_Bike,Motorcycle/ATV/Snowmobile,Elderly
11/11/2013,"A motorist travelling eastbound Seymour Lake Road, 1500 feet west of Sashabaw Road loss control during icy road conditions coming out of curve, slid sideways across the centerline and was hit by a westbound vehicle. A passenger in the vehicle that crossed the centerline was killed.",,Seymour Lake Rd,Sashabaw Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
11/15/2013,"A motorist travelling on northbound Dequindre Road, a quarter mile south of Avon Road loss control of their vehicle, crossed the centerline and was broadsided on the passenger side by a southbound vehicle. The driver of the northbound vehicle was not wearing a seatbelt and was killed. Alcohol appears to be a factor in this crash.",,Dequindre Rd,Avon Rd,,,,1,1,,,,,,,,,,,1,,,,,0,0,
12/27/2013,"A motorist that may have had a medical problem prior to crashing was killed when they ran off the road on northbound Crooks Road, 850 feet south of Hamlin Road, hit a traffic sign and then a street light pole.",,Crooks Rd,Hamlin Rd,,,,1,1,,,,,,1,,,,,,,,,,0,0,
2/20/2014,"At night a pedestrian walking in the southbound lanes of Opdyke Road, just north of Warwick Way (south of Auburn Road) was killed when they were hit by a southbound vehicle.",,Opdyke Road,Warwick Way,,,,1,1,,,,,,,,,,,,,,,,1,0,
4/6/2014,"A motorcyclist travelling westbound on Williams Lake Road, just west of Airport Road (north leg) was killed when he weaved around two other vehicles travelling westbound and hit a vehicle travelling eastbound that was turning left into a gas station driveway.",,Williams Lake Rd,Airport Rd,,,,1,1,,,,,,,,,,,,,,,,0,1,
5/3/2014,A motorist travelling northbound on Orchard Lake Road made a left turn into the driveway of the Beaumont Hospital and was hit by a southbound motorist. A passenger in the northbound vehicle was killed.,,Orchard Lake Rd,Beaumont Hospital,,,,1,1,,,,,,,,,,,,,,,,0,0,
6/12/2014,"A motorist travelling westbound on Big Beaver Road at a high rate of speed ran a red light at the crossover east of Livernois Road, at Troy Street and was broadsided by a motorist using the crossover. The driver of the westbound vehicle was not wearing a seatbelt and was ejected from the vehicle and died later from their injuries.",,Big Beaver Rd,,,,,1,1,,,,,,,1,,,,,,,,,0,0,
6/12/2014,"A motorist travelling westbound on Ten Mile Road, west of Milford Road was killed when they crossed the centerline and hit an eastbound semi-truck head-on.",,10 Mile,Milford Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
6/26/2014,"A pedestrian walking westbound on Woodsedge Drive, west of Williams Lake Road in White Lake Township was killed when a septic truck backing up in the same direction struck them.",,Woodsedge Dr,Williams Lake Rd,,,,1,1,,,,,,,,,,,,,,,,1,0,
6/26/2014,"A motorcyclist travelling westbound on Pontiac Lake Road, approximately 600 feet west of Oak Pointe Drive was killed when they crossed the centerline and ran off the road hitting a mailbox and then a traffic sign. Alcohol is believed to be a factor in the crash.",,Pontiac Lake Rd,Oak Pointe Dr,,,,1,1,,,,,,,,,,,,,,,,0,1,
6/30/2014,"A motorist travelling northbound on Dixie Highway, 900 feet north of I-75 was killed when they crossed the centerline, ran off the road into a ditch causing the vehicle to rollover. Authorities believe a medical issue may have contributed to the crash.",,Dixie Hwy,,,,,1,1,,,,,,,,,,,,,,,,0,0,
7/1/2014,"A motorist travelling southbound on Milford Road, 1000 feet south of Travis Road was killed when they swerved left to avoid another vehicle turning left and crossed the centerline hitting a northbound vehicle head-on.",,Milford Rd,Travis Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
7/29/2014,A motorist travelling southbound on Dequindre Road was killed when they ran a red light and were hit by a westbound Big Beaver Road vehicle.,,Dequindre Rd,Big Beaver Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
9/1/2014,"A motorist travelling southbound on Dixie Highway, between Holdridge Road and Tripp Road, ran off the road, rolled over, and hit a tree. A passenger in the rear seat of the vehicle was killed.",,Dixie Hwy,Holdridge Rd,,,,1,1,,,,,,1,,,,,,,,,,0,0,
9/8/2014,A motorcyclist travelling southbound on Benstein Road was killed when they ran off the road into a small ditch on a curve and was thrown from the motorcycle. Alcohol was a factor in the crash.,,Benstein Rd,,,,,1,1,,,,,,,,,,,1,,,,,0,1,
9/19/2014,"At night a pedestrian walking in the southbound lane of Haggerty Road, 800 feet north of Fourteen Mile Road was killed when they were hit by a southbound vehicle.",,Haggerty Rd,14 Mile Rd,,,,1,1,,,,,,,,,,,,,,,,1,0,
9/29/2014,"A motorist travelling westbound on Elizabeth Lake Road, 200 feet east of Cruse Avenue was killed when they left the road to the right, re-entered the road and crossed the centerline, left the road on the left, flipped the vehicle ejecting the passenger who survived. Alcohol was a factor in the crash.",,Elizabeth Lake Rd,Cruse Ave,,,,1,1,,,,,,,,,,,1,,,,,0,0,
10/21/2014,At night a pedestrian at the intersection of North Holly Road & Quick Road was killed in a hit-and-run accident.,,North Holly Rd,Quick Rd,,,,1,1,,,,,,,,,,,,,,,,1,0,
10/25/2014,A motorist travelling southbound on Rochester Road north of Tienken Road was killed when a northbound motorist crossed the centerline and hit them head-on. Alcohol was a factor in the crash.,,Rochester Rd,Tienken Rd,,,,1,1,,,,,,,,,,,1,,,,,0,0,
11/25/2014,A pedestrian near the intersection of Hickory Ridge Road & Bone Road was killed in a hit-and-run accident.,,Hickory Ridge Rd,Bone Rd,,,,1,1,,,,,,,,,,,,,,,,1,0,
11/25/2014,At night a pedestrian crossing the east leg of the Crooks Road & Maplelawn Road intersection was killed when a bus travelling southbound made a left turn.,,Crooks Rd,Maplelawn Rd,,,,1,1,,,,,,,,,,,,,,,,1,0,
1/19/2015,A motorist turning left from southbound Huntington Park Drive onto eastbound Walton Boulevard (east of Silver Lake Road) was hit by a westbound vehicle and killed.,,Huntington Park Dr,,,,,1,1,,,,,,,,,,,,,,,,0,0,
1/20/2015,"A motorist and one of his three passengers was killed when he lost control of his vehicle on Pontiac Trail, west of Martindale Road during icy road conditions, crossed the centerline hitting an eastbound vehicle.",,Pontiac Trail,Martindale,,,,1,2,,,,,,,,,,,,,,,,0,0,
1/20/2015,"A motorist travelling southbound on Baldwin Road, south of Indianwood Road was killed when they crossed the centerline and hit a northbound vehicle head-on.",,Baldwin Rd,Indianwood Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
1/26/2015,A motorist travelling westbound on Pontiac Trail was stopped to make a left turn at Wellington Drive and was rear ended by another westbound vehicle causing the stopped vehicle to spin around and flip over bursting into flames killing the driver. Alcohol was a factor in the crash.,,Pontiac Trail,Wellington Dr,,,,1,1,,,,,,,,,,,1,,,,,0,0,
3/1/2015,A motorist southbound on Crooks Road at Hamlin Road turning left was hit head-on by a northbound motorist travelling through the intersection. The northbound motorist was admitted to the hospital for their injuries and died on 06/28/15 from injuries sustained in the crash.,,Crooks Rd,Hamlin Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
3/3/2015,"A motorist travelling southbound on Welch Road, near Stony Lane, was killed when they lost control slid sideways across the centerline and was hit by a northbound vehicle.",,Welch Rd,Stony Ln,,,,1,1,,,,,,,,,,,,,,,,0,0,
4/13/2015,"A motorist travelling northbound on John R Road, 800 feet north of Girard Avenue, at a high rate of speed was killed when they lost control and ran off the road hitting a building. Alcohol was a factor in the crash.",,John R Rd,Girard Ave,,,,1,1,,,,,,,1,,,,1,,,,,0,0,
4/26/2015,"A motorist travelling eastbound on Long Lake Road, east of Blair Drive with passenger was distracted and ran over construction cones before hitting a parked commercial vehicle (dump truck) with flashing lights activated. The passenger in the vehicle was killed.",,Long Lake Rd,Blair Dr,,,,1,1,,,,,,,,1,,,,,,,,0,0,
5/23/2015,"A motorcyclist travelling southbound on Orion Road, south of Dutton Road was killed when they crossed the centerline and hit a northbound vehicle head-on.",,Orion Rd,Dutton Rd,,,,1,1,,,,,,,,,,,,,,,,0,1,
5/23/2015,"A motorist travelling eastbound on Commerce Road, east of W. Dow Ridge Street hit and killed an eastbound bicyclist riding on the shoulder.",,Commerce Rd,W Dow Ridge St,,,,1,1,,,,,,,,,,,,,,,,1,0,
6/15/2015,A motorist southbound on Beckley Avenue failed to yield and hit an eastbound vehicle on Drahner Road which caused it to spin out of control and be hit by a westbound motorcyclist. The motorcyclist was killed.,,Beckley Ave,Drahner Rd,,,,1,1,,,,,,,,,,,,,,,,0,1,
6/25/2015,"A motorist travelling southbound on Dixie Highway, north of Old Pond Road was killed when they crossed the center lane for left turns and hit a northbound vehicle head-on.",,Dixie Hwy,Old Pond Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
6/26/2015,A motorist northbound on Orchard Lake Road at Maple Road turning left was hit by a southbound motorist travelling through the intersection. The northbound motorist was admitted to the hospital the following day for their injuries and died on 06/30/15 from injuries sustained in the crash.,,Orchard Lake Rd,Maple Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
7/2/2015,"A motorist travelling northbound on Cooley Lake Road 300 feet north of Lake Vista Drive lost control, hit a guardrail ending, then a tree and was killed.",,Cooley Lake Rd,Lake Vista Dr,,,,1,1,,,,,,1,,,,,,,,,,0,0,
7/25/2015,"A motorist travelling northbound on Southfield Road, at Filmore Place was killed when they hit a northbound stopped vehicle, crossed the center lane for left turns ejecting themselves when they hit a stopped southbound vehicle pushing it into five other vehicles.",,Southfield Rd,Filmore Place,,,,1,1,,,,,,,,,,,,,,,,0,0,
7/27/2015,"A pedestrian crossing Pontiac Trail, 150 feet west of Deer Run Circle was killed when they were hit by a westbound vehicle.",,Pontiac Trail,Deer Run Cir,,,,1,1,,,,,,,,,,,,,,,,1,0,
8/3/2015,"A motorcyclist travelling southbound on Hadley Road, at Sawmill Lake Road was killed when they lost control in a curve, left the road and hit a tree. A witness reported that the motorcycle was moving at a high rate of speed.",,Hadley Rd,Sawmill Lake Rd,,,,1,1,,,,,,,,,,,,,,,,0,1,
8/7/2015,"A pedestrian in Adams Road, near Woodcrest Road was killed when they were hit by a northbound vehicle.",,Woodcrest Rd,,,,,1,1,,,,,,,,,,,,,,,,1,0,
9/14/2015,A motorist westbound on 11 Mile Road at Milford Road disregarded a Stop Sign while distracted on their cell phone and was hit by a southbound vehicle. A passenger in the westbound vehicle was killed. Alcohol appears to have been a factor in the crash.,,11 Mile,Milford Rd,,,,1,1,,,1,,,,,,,,1,,,,,0,0,
9/23/2015,"A motorcyclist travelling eastbound on Grand River Avenue, just west of Jeffrey Court (east of Kent Lake Road) was killed when they tried to pass another vehicle on the right side and loss control hitting a bolder. A passenger on the motorcycle is listed as an A injury.",,Grand River Ave,Jeffrey Ct,,,,1,1,,,,,,,,,,,,,,,,0,1,
9/23/2015,"A pedestrian crossing Dixie Highway, 900 feet north of Ridge Valley Road was killed when they were hit by a northbound vehicle.",,Dixie Hwy,Ridge Valley Rd,,,,1,1,,,,,,,,,,,,,,,,1,0,
10/4/2015,"A motorist travelling northbound on North Holly Road south of Lahring Road was killed when they lost control, left the roadway, hit a tree and rolled over. Speed and wet roadway are believed to have factored into the crash.",,North Holly Rd,Larhring Rd,,,,1,1,,,,,,1,,,,,,,,,,0,0,
10/9/2015,"A motorist travelling westbound on South Boulevard, just west of Squirrel Road was killed when they crossed the centerline and hit an eastbound vehicle head-on.",,South Blvd,Squirrel Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
10/31/2015,"A motorist travelling southbound on Taylor Road, 150 feet Taylor Lake Court was killed when they lost control and was ejected from the vehicle after hitting a tree. witnesses reported hearing the vehicle travelling at a high rate of speed.",,Taylor Rd,Taylor Lake Ct,,,,1,1,,,,,,1,1,,,,,,,,,0,0,
11/4/2015,"A pedestrian crossing John R Road, at the intersection of Highbury Drive/Oak Forest Drive, south of Square Lake was killed when they were hit by a southbound vehicle.",,Highbury Dr/Oak Forest Dr,Square Lake Rd,,,,1,1,,,,,,,,,,,,,,,,1,0,
11/11/2015,"A pedestrian crossing Duck Lake Road, 1000 feet south of Teeple Lake Road at driveway address number 1750 was killed when they were hit by a southbound vehicle.",,Duck Lake Rd,Teeple Lake Rd,,,,1,1,,,,,,,,,,,,,,,,1,0,
11/20/2015,"A bicyclist crossing Elizabeth Lake Road, 150 feet west of N Josephine Avenue/Summit Drive was killed when they were hit by a westbound vehicle.",,Elizabeth Lake Rd,N Josephine Ave/Summit Dr,,,,1,1,,,,,,,,,,,,,,,,1,0,
12/11/2015,A pedestrian crossing Cooley Lake Road at Huntwood Park Drive was killed when they were hit by an eastbound vehicle.,,Cooley Lake Rd,Huntwood Park Dr,,,,1,1,,,,,,,,,,,,,,,,1,0,
12/22/2015,A motorist traveling northbound on Bogie Lake Road at Cedar Island Road (East Intersection) was killed when they attempted to make a U-turn and were hit by a southbound vehicle.,,Dogie Lake Rd,Cedar Island Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
1/10/2016,"A motorist travelling northbound on Ormond Road, just north of Duffield/ Wingate Lake Boulevard was ejected from their vehicle and killed when they lost control during snowy, inclement weather and crossed the centerline hitting a southbound vehicle head-on.",,Ormond Rd,,,,,1,1,,,,,,,,,,,,,,1,,0,0,
1/25/2016,"A motorist travelling westbound on Indianwood Road, 400 feet east of Knollwood drive was killed when they loss control of their vehicle and left the road hitting a utility pole. Speed to fast and alcohol was a factor in the crash.",,Idianwood Rd,,,,,1,1,,,,,,1,1,,,,1,,,,,0,0,
2/29/2016,A pedestrian in the eastbound lane of Drahner Road at Olive Street at night was hit and killed by an eastbound vehicle.,,Drahner Rd,,,,,1,1,,,,,,,,,,,,,,,,1,0,
3/3/2016,A motorist southbound on Pontiac Drive at Orchard Lake Road was killed when they failed to Stop at a red traffic light and hit a westbound vehicle and an eastbound vehicle.,,,,,,,1,1,,,,,,,,,,,,,,,,0,0,
3/18/2016,A pedestrian was killed when they stepped into the path of a southbound vehicle on Union Lake Road at Cooley Lake Road.,,,,,,,1,1,,,,,,,,,,,,,,,,1,0,
4/1/2016,At night a pedestrian was killed while standing next to their vehicle that was in the road without lights when they were hit by another vehicle on westbound Sleeth Road 200 feet east of Penarth Street.,,,,,,,1,1,,,,,,,,,,,,,,,,1,0,
4/2/2016,A motorist riding a minibike westbound on Eight Mile Road was killed when they hit the side of an eastbound motorist’s vehicle that was turning left onto northbound Tuck Road.,,,,,,,1,1,,,,,,,,,,,,,,,,0,1,
4/6/2016,A pedestrian was killed attempting to crossing Twelve Mile Road near Tessmer Court (west of Dequindre Road) when hit by a westbound vehicle knocked over the top and under a second vehicle and dragged approximately a quarter mile before being stopped.,,,,,,,1,1,,,,,,,,,,,,,,,,1,0,
4/15/2016,"A motorist travelling eastbound on South Holly Road, west of Hickory Ridge Road was killed when they ran off the road hitting a utility pole. It appeared that the driver was not wearing a seatbelt.",,South Holly Rd,Hickory Ridge,,,,1,1,,,,,,1,,,,,,,,,,0,0,
4/16/2016,"A motorcyclist travelling eastbound on Clarkston Road, east of Lakeview Road was killed when they loss control, crossed the centerline and hit a westbound vehicle head-on.",,,,,,,1,1,,,,,,,,,,,,,,,,0,1,
5/2/2016,"A motorist travelling westbound on Elizabeth Lake Road, east of Cooley Lake Road was killed when they ran off the road to the left crashing into five parked vehicles in a used car dealership. Investigators believe the driver suffered a medical condition prior to the crash.",,Elizabeth Lake Rd,,,,,1,1,,,,,,,,,,,,,,,,0,0,
5/15/2016,"A motorist travelling eastbound on Long Lake Road, 500 foot east of Nearbrook Road (west of Lahser Road) was killed when they lost control of their vehicle and ran off the road hitting a tree. Alcohol and high speeds appear to be factors in the crash.",,,,,,,1,1,,,,,,1,1,,,,1,,,,,0,0,
5/19/2016,"A motorcyclist travelling eastbound on Big Beaver Road, 266 feet east of Daley Road (east of Rochester Road) was killed when they lost control and ran off the road hitting the curb and a traffic sign.",,Big Beaver Rd,,,,,1,1,,,,,,,,,,,,,,,,0,1,
6/18/2016,A motorist was killed on westbound Walton Boulevard at Opdyke Road when they made a left turn failing to yield to an eastbound through vehicle.,,Walton Blvd,Opdyke Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
6/30/2016,A motorcyclist travelling westbound on 9 Mile Road at Pontiac Trail was killed when they hit an eastbound motorists turning left in front of them.,,,,,,,1,1,,,,,,,,,,,,,,,,0,1,
7/7/2016,A motorist being chased by police ran a red light at the intersection of Baldwin Road and Waldon Road and hit another vehicle killing the driver.,,Baldwin Rd,Waldon,,,,1,1,,,,,,,,,,,,,,,,0,0,
7/11/2016,"A motorcyclist travelling eastbound on Grange Hall Road, west of Riviera Shores Drive was killed when they lost control in a curve and ran off the road hitting a guardrail.",,Grange Hall Rd,,,,,1,1,,,,,,1,,,,,,,,,,0,1,
7/28/2016,A motorist southbound on Beck Road at Twelve Mile Road made a left turn and was hit by a northbound vehicle. A passenger in the left turning vehicle was killed.,,Beck Rd,12 Mile,,,,1,1,,,,,,,,,,,,,,,,0,0,
8/8/2016,A motorcyclist travelling westbound on Hickory Grove Road was killed when they hit a vehicle that was northbound on Chickering Lane crossing Hickory Grove Road.,,Hickory Grove Rd,,,,,1,1,,,,,,,,,,,,,,,,0,1,
8/28/2016,"A motorist travelling eastbound on Walton Boulevard east of Meinrad Drive was killed when they ran off the road hitting a utility pole, a tree, a fence and another utility pole.",,Walton Blvd,,,,,1,1,,,,,,1,,,,,,,,,,0,0,
9/1/2016,"A motorist travelling southbound on Dixie Highway, near Belford Road was killed when they entered the northbound lanes and hit a semi-truck head-on. Crash may have been intentional and is being investigated.",,Dixie Hwy,Belford Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
9/5/2016,A motorist on eastbound Ten Mile Road at Lahser Road disregarded a traffic signal and hit a southbound vehicle killing the driver and forcing it into a fuel station where it hit a third vehicle.,,10 Mile,,,,,1,1,,,,,,,,,,,,,,,,0,0,
9/11/2016,A motorist westbound on Maple Road at Stephenson Highway failed to stop at a red traffic light and hit a southbound vehicle killing the driver.,,Maple Rd,Stephenson Hwy,,,,1,1,,,,,,,,,,,,,,,,0,0,
10/11/2016,A motorist westbound on Mann Road at Clintonville Road disregarded the Stop sign and was hit by a southbound vehicle. A passenger in the westbound vehicle was killed.,,Mann Rd,Clintonville Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
10/17/2016,A motorist northbound on Livernois Road at Wattles Road ran through a red signal indication and hit a westbound turning vehicle that had a left turn green arrow indication. A passenger in the westbound vehicle was killed.,,Livernois Rd,Wattles Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
10/23/2016,A pedestrian crossing at the intersection of Airport Road at Tubbs Road from east to west at night was hit by a northbound vehicle. The pedestrian died a few days later from their injuries.,,Airport Rd,,,,,1,1,,,,,,,,,,,,,,,,1,0,
10/24/2016,A commercial garbage truck became disabled in the roadway westbound on Ray Road 500 feet west of Oxford Road with flashers activated. Another westbound vehicle crashed into the rear of the truck killing the driver and one of their passengers.,,Ray Rd,Oxford,,,,1,2,,,,,,,,,,,,,,,,0,0,
10/26/2016,A pedestrian crossing Elizabeth Lake Road 25 feet west of Preston Road from north to south at night was hit and killed by a westbound vehicle. The motorist fled the scene with the vehicle which was later recovered after it was set on fire.,,Elizabeth Lake Rd,Preston Rd,,,,1,1,,,,,,,,,,,,,,,,1,0,
10/29/2016,A motorist travelling eastbound on Romeo Road near Townsend Road attempting to pass slower moving vehicles in a marked no passing zone hit a westbound vehicle head-on killing the driver.,,Romeo Rd,Townsend Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
11/2/2016,"A motorist travelling westbound on Cooley Lake Road, 200 feet west of Glade Street was killed when they crossed the centerline and ran off the road to the left crashing into a traffic sign and a tree. Investigators believe the driver may have suffered a medical condition prior to the crash.",,Cooley Lake Rd,Glade Street,,,,1,1,,,,,,,,,,,,,,,,0,0,
11/18/2016,"A motorist travelling northbound on South Hill Road, 1320 feet south of Dawson Road in the curve was killed when they ran off the road hitting a tree causing the vehicle to catch fire.",,South Hill Rd,Dawson,,,,1,1,,,,,,1,,,,,,,,,,0,0,
11/23/2016,A pedestrian crossing Greenfield Road south of 11 Mile Road from west to east at night was hit by a southbound vehicle. The pedestrian died a few days later from their injuries.,,Greenfield Rd,11 Mile,,,,1,1,,,,,,,,,,,,,,,,1,0,
11/27/2016,A motorist travelling westbound on Oakwood Road 500 feet east of Coats Road was killed when they ran off the road to the right crashing into several trees before overturning.,,Oakwood Rd,Coats Rd,,,,1,1,,,,,,1,,,,,,,,,,0,0,
12/5/2016,"A motorist on eastbound Long Lake Road at Coolidge Highway was killed when they disregarded a traffic signal and hit two southbound vehicles, overturning their vehicle.",,Long Lake Rd,Coolidge Hwy,,,,1,1,,,,,,,,,,,,,,,,0,0,
12/5/2016,A pedestrian was killed when crossing Opdyke Road 300 feet south of Hempstead Road from east to west at night when hit by a southbound vehicle.,,Opdyke Road,Hepstead Rd,,,,1,1,,,,,,,,,,,,,,,,1,0,
12/7/2016,A motorcyclist travelling eastbound on Cooley Lake Road 750 east of King Arms Road crossed the centerline and hit a westbound vehicle head-on killing the driver.,,,,,,,1,1,,,,,,,,,,,,,,,,0,1,
12/9/2016,A pedestrian on eastbound Ten Mile Road (I-696 Service Drive) east of Campbell Road near Huron Street at night was hit and killed by an eastbound vehicle.,,,,,,,1,1,,,,,,,,,,,,,,,,1,0,
12/31/2016,"A motorcyclist travelling northbound on Hadley Road, 3960 feet south of Oak Hill Road was killed when they loss control, hit two mailboxes and fell from the vehicle.",,,,,,,1,1,,,,,,,,,,,,,,,,0,1,
1/5/2017,"A motorist travelling southbound on Opdyke Road, near Heatherwood Lane/Knollwood Road was killed when they entered the northbound lanes and hit a northbound gravel hauler semi-truck head-on. The southbound vehicle also hit another northbound vehicle.",,Opdyke Road,,,,,1,1,,,,,,,,,,,,,,,,0,0,
2/13/2017,"A motorist was killed when two vehicles travelling on White Lake Road, approximately 3,300 feet east of Teggerdine Road collided in a head-on crash. The driver at fault has not been determined.",,White Lake Road,,,,,1,1,,,,,,,,,,,,,,,,0,0,
2/15/2017,"A motorist travelling westbound on Ten Mile Road, 1320 Feet west of Milford Road was killed when they crossed the centerline and hit an eastbound vehicle head-on.",,Ten Mile Rd,,,,,1,1,,,,,,,,,,,,,,,,0,0,
2/23/2017,"A passenger from a vehicle involved in an earlier crash at this same intersection was killed when they attempted to cross outside the crosswalk on Twelve Mile (EB) Road at Haggerty Road, and was struck by another vehicle.",,12 Mile Rd,Haggerty Rd,,,,1,1,,,,,,,,,,,,,,,,1,0,
3/14/2017,"A motorist travelling westbound on Ten Mile Road, 400 Feet east of Stoney Croft Road was killed when they crossed into the eastbound lanes and hit an eastbound vehicle head-on.",,Ten Mile Rd,,,,,1,1,,,,,,,,,,,,,,,,0,0,
3/24/2017,"A motorist travelling southbound on Clintonville Road, 500 feet north of Waldon Road was killed when lost control, crossed the centerline, left the roadway striking a boulder. Alcohol was a factor in the crash.",,Clintonville Rd,,,,,1,1,,,,,,1,,,,,1,,,,,0,0,
3/31/2017,"A motorist travelling eastbound on Walton Boulevard at Clintonville Road was killed when left the roadway, struck a utility pole and two trees before coming to rest against a building and the vehicle becoming engulfed in flames.",,Walton Blvd,,,,,1,1,,,,,,1,,,,,,,,,,0,0,
5/17/2017,"A motorcyclist travelling westbound on Oakley Park Road, near Sutton Lane in the curve was killed when they lost control and ran off the road. Speed appears to be the contributing factor. A passenger was reported as an “A” injury.",,Oakley Park Rd,,,,,1,1,,,,,,,1,,,,,,,,,0,0,
5/29/2017,"A motorists travelling eastbound on Hatchery Road, west of Edmore Road was killed when they lost control, crossed the centerline, hit a construction solar-powered trailer mounted arrow board and a fence before rolling over into the river. Alcohol may have been a factor in the crash.",,Hatchery Rd,Edmore Rd,,,,1,1,,,,,,,,1,,,1,,,,,0,0,
6/3/2017,"A motorcyclist travelling southbound on Ormond Road, at night, a half-mile south of French Road was killed when they hit a deer and lost control. A southbound motorist ran over the body and fled the scene.",,,,,,,1,1,,,,,,,,,,,,,,,,0,1,
6/7/2017,"A motorist travelling northbound on John R Road at E Whitcomb Avenue, was killed when they went through a red light and hit an eastbound vehicle at a high rate of speed.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,
6/13/2017,A motorcyclist with passenger on eastbound on Grand River Avenue at Wixom Road was stop for the traffic signal when they were rear-ended and push into the vehicle in front of them. The motorcycle passenger was killed.,,,,,,,1,1,,,,,,,,,,,,,,,,0,0,
6/28/2017,A motorcyclist travelling southbound on Ormond Road south of Duffield Road was killed when they were hit by a northbound motorist turning left into the White Lake Supermarket.,,,,,,,1,1,,,,,,,,,,,,,,,,0,0,
7/13/2017,"A motorist travelling southbound on Dequindre Road at Romeo Road, ran the Stop sign and hit a westbound vehicle causing it to rollover killing the driver.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,
7/14/2017,"A motorist travelling westbound on Oakley Park Road, near Sutton Lane in the curve was killed when they lost control and ran off the road, hit a ditch, two traffic signs and a tree. It has been reported, the man may have suffered a medical emergency prior to the crash.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,
7/14/2017,"A motorist travelling southbound on Southfield Road at Twelve Mile Road, was killed when they hit a stopped vehicle in the right turn lane at a high rate of speed, then continued through the intersection hitting a sign, then a guardrail on private property, and then a building.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,
7/22/2017,"A motorists travelling northbound on Joslyn Road, south of Judah Road was killed when they lost control of the vehicle, crossed the centerline, struck a dirt embankment and rolled over three times. No seat belt was used.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,
8/5/2017,"A motorist travelling westbound on Avon Road, 300 Feet east of Glouchester Road (east of Adams Road) at night, hit and killed a pedestrian. This was a hit and run the pedestrian was discovered in a ditch the next morning.",,,,,,,1,1,,,,,,,,,,,,,,,,1,0,
8/22/2017,"A motorist travelling westbound on Seymour Lake Road, 1000 Feet west of Perry Lake Road was killed when they crossed the centerline and hit an eastbound vehicle head-on.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,
9/9/2017,"A motorist travelling westbound on West Maple Road at Halsted Road, rear-ended a westbound moped vehicle killing the driver. Alcohol and drugs were a factor in the crash.",,,,,,,1,1,,,,,,,,,,,1,,,,,0,1,
9/27/2017,"A motorist travelling eastbound on Ray Road at Hosner Road, was killed when they left the roadway and hit a tree. Alcohol was a factor in the crash.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,
10/23/2017,"A motorist travelling westbound on Clarkston Road, 200 feet west of Park Drive in the curve was killed when they lost control and ran off the road hitting a road sign and a tree. Speed appears to be the contributing factor.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,
10/26/2017,"A motorist travelling eastbound on Grange Hall Road, near Great Lakes Boulevard was killed when they rear-ended a vehicle that was slowing to make a left turn into a driveway.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,
10/30/2017,"A motorist travelling southbound on Odyke Road, approximately 750 feet north of Auburn Road crossed the centerline and collided with a northbound vehicle in a head-on crash. The drivers of both vehicles were killed.",,,,,,,1,2,,,,,,,,,,,,,,,,0,0,
10/30/2017,"A pedestrian was hit and killed by an eastbound vehicle when they were crossing Twelve Mile Road, east of Telegraph near the 12-Tel Mall traffic signal outside of the crosswalk.",,,,,,,1,1,,,,,,,,,,,,,,,,0,1,
12/19/2017,"A motorist travelling southbound on Dixie Highway, near Tindal Road was killed in a head-on collision with a northbound vehicle. Police believe one of the drivers lost control and crossed the centerline.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,
12/24/2017,"A motorist travelling southbound on South Commerce Road, 65 Feet north of Woodcreek Court was killed when they lost control on the snowy road, crossed the centerline and hit a northbound vehicle head-on.",,,,,,,1,1,,,,,,,,,,,,,,,,0,0,
